pixAcc:76528.0000,mIoU:101705.0000,cost:0.037s
pixAcc:75390.0000,mIoU:101099.0000,cost:0.017s
pixAcc:80757.0000,mIoU:115830.0000,cost:0.017s
pixAcc:84083.0000,mIoU:125604.0000,cost:0.011s
pixAcc:69831.0000,mIoU:115602.0000,cost:0.011s
pixAcc:72866.0000,mIoU:106673.0000,cost:0.011s
pixAcc:96477.0000,mIoU:137209.0000,cost:0.011s
pixAcc:110364.0000,mIoU:169920.0000,cost:0.011s
pixAcc:82896.0000,mIoU:125247.0000,cost:0.011s
pixAcc:77887.0000,mIoU:110240.0000,cost:0.011s
pixAcc:84358.0000,mIoU:139162.0000,cost:0.011s
pixAcc:100940.0000,mIoU:143859.0000,cost:0.011s
pixAcc:94643.0000,mIoU:136753.0000,cost:0.011s
pixAcc:97894.0000,mIoU:138200.0000,cost:0.011s
pixAcc:89578.0000,mIoU:119688.0000,cost:0.011s
pixAcc:95851.0000,mIoU:136183.0000,cost:0.011s
pixAcc:82057.0000,mIoU:111136.0000,cost:0.011s
pixAcc:84219.0000,mIoU:129998.0000,cost:0.011s
pixAcc:100532.0000,mIoU:133861.0000,cost:0.011s
pixAcc:115507.0000,mIoU:160276.0000,cost:0.011s
pixAcc:94657.0000,mIoU:138484.0000,cost:0.011s
pixAcc:104947.0000,mIoU:150260.0000,cost:0.011s
pixAcc:62879.0000,mIoU:91978.0000,cost:0.011s
pixAcc:86412.0000,mIoU:125839.0000,cost:0.011s
pixAcc:84899.0000,mIoU:135849.0000,cost:0.011s
pixAcc:80140.0000,mIoU:130521.0000,cost:0.011s
pixAcc:69888.0000,mIoU:99422.0000,cost:0.011s
pixAcc:72607.0000,mIoU:101762.0000,cost:0.011s
pixAcc:84462.0000,mIoU:125880.0000,cost:0.011s
pixAcc:79721.0000,mIoU:125585.0000,cost:0.011s
pixAcc:88724.0000,mIoU:128335.0000,cost:0.012s
pixAcc:62590.0000,mIoU:102513.0000,cost:0.012s
pixAcc:70942.0000,mIoU:102034.0000,cost:0.012s
pixAcc:67398.0000,mIoU:101952.0000,cost:0.012s
pixAcc:81880.0000,mIoU:118413.0000,cost:0.012s
pixAcc:68796.0000,mIoU:99951.0000,cost:0.012s
pixAcc:66815.0000,mIoU:95055.0000,cost:0.012s
pixAcc:103638.0000,mIoU:138298.0000,cost:0.012s
pixAcc:78573.0000,mIoU:104598.0000,cost:0.012s
pixAcc:85727.0000,mIoU:116413.0000,cost:0.012s
pixAcc:81603.0000,mIoU:123807.0000,cost:0.012s
pixAcc:72934.0000,mIoU:104831.0000,cost:0.012s
pixAcc:75292.0000,mIoU:110249.0000,cost:0.012s
pixAcc:86995.0000,mIoU:120994.0000,cost:0.012s
pixAcc:111939.0000,mIoU:159697.0000,cost:0.012s
pixAcc:68741.0000,mIoU:100230.0000,cost:0.012s
pixAcc:103067.0000,mIoU:142904.0000,cost:0.012s
pixAcc:78496.0000,mIoU:102767.0000,cost:0.012s
pixAcc:80363.0000,mIoU:127703.0000,cost:0.012s
pixAcc:84981.0000,mIoU:124990.0000,cost:0.012s
pixAcc:62319.0000,mIoU:97075.0000,cost:0.012s
pixAcc:91218.0000,mIoU:140001.0000,cost:0.012s
pixAcc:68876.0000,mIoU:108611.0000,cost:0.012s
pixAcc:72703.0000,mIoU:102338.0000,cost:0.012s
