pixAcc:0.0017,mIoU:0.0770,cost:0.029s
pixAcc:0.0031,mIoU:0.0778,cost:0.018s
pixAcc:0.0022,mIoU:0.0772,cost:0.018s
pixAcc:0.0019,mIoU:0.0772,cost:0.011s
pixAcc:0.0015,mIoU:0.0771,cost:0.011s
pixAcc:0.0012,mIoU:0.0771,cost:0.011s
pixAcc:0.0011,mIoU:0.0770,cost:0.011s
pixAcc:0.0010,mIoU:0.0769,cost:0.011s
pixAcc:0.0009,mIoU:0.0767,cost:0.011s
pixAcc:0.0009,mIoU:0.0767,cost:0.011s
pixAcc:0.0008,mIoU:0.0767,cost:0.011s
pixAcc:0.0007,mIoU:0.0766,cost:0.011s
pixAcc:0.0007,mIoU:0.0766,cost:0.011s
pixAcc:0.0007,mIoU:0.0766,cost:0.011s
pixAcc:0.0007,mIoU:0.0766,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0766,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0007,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0006,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0765,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.011s
pixAcc:0.0005,mIoU:0.0764,cost:0.012s
