00	0.9299|0.7226|0.7052|0.5331	0.9299|0.7226|0.7052|0.5331	0.9299|0.7227|0.7052|0.5332	0.9301|0.7242|0.7054|0.5342	0.9308|0.7276|0.7060|0.5367	0.9322|0.7333|0.7074|0.5411	0.9333|0.7373|0.7087|0.5443	0.9344|0.7397|0.7100|0.5466	0.9349|0.7370|0.7112|0.5461	
01	0.9131|0.7241|0.6890|0.5309	0.9131|0.7241|0.6890|0.5309	0.9131|0.7241|0.6890|0.5310	0.9132|0.7245|0.6891|0.5312	0.9138|0.7260|0.6896|0.5322	0.9145|0.7296|0.6904|0.5345	0.9154|0.7337|0.6913|0.5372	0.9165|0.7389|0.6926|0.5409	0.9177|0.7452|0.6945|0.5458	
02	0.7480|0.6353|0.5761|0.5115	0.7480|0.6353|0.5761|0.5115	0.7480|0.6353|0.5761|0.5116	0.7481|0.6361|0.5761|0.5119	0.7487|0.6394|0.5765|0.5137	0.7530|0.6488|0.5789|0.5186	0.7576|0.6573|0.5815|0.5228	0.7630|0.6663|0.5846|0.5272	0.7709|0.6765|0.5893|0.5318	
03	0.5397|0.4724|0.3776|0.3635	0.5397|0.4724|0.3776|0.3635	0.5399|0.4728|0.3778|0.3638	0.5410|0.4748|0.3787|0.3653	0.5441|0.4803|0.3810|0.3686	0.5486|0.4886|0.3842|0.3726	0.5533|0.4964|0.3877|0.3762	0.5590|0.5037|0.3921|0.3789	0.5685|0.5103|0.4000|0.3810	
04	0.4639|0.5349|0.3349|0.4062	0.4639|0.5349|0.3349|0.4062	0.4639|0.5350|0.3349|0.4062	0.4646|0.5369|0.3356|0.4078	0.4708|0.5447|0.3412|0.4140	0.5003|0.5642|0.3685|0.4297	0.5327|0.5830|0.3983|0.4450	0.5727|0.6037|0.4353|0.4619	0.6334|0.6310|0.4910|0.4845	
05	0.3432|0.2979|0.3033|0.2666	0.3432|0.2979|0.3033|0.2666	0.3432|0.2979|0.3033|0.2666	0.3431|0.2980|0.3033|0.2667	0.3429|0.2981|0.3029|0.2667	0.3438|0.2989|0.3031|0.2673	0.3446|0.2990|0.3031|0.2673	0.3452|0.2980|0.3027|0.2663	0.3456|0.2954|0.3016|0.2637	
BLACKBIRD	0.9144|0.6703|0.6887|0.4930	0.9144|0.6703|0.6887|0.4930	0.9145|0.6704|0.6887|0.4931	0.9147|0.6713|0.6888|0.4935	0.9154|0.6743|0.6893|0.4950	0.9164|0.6780|0.6901|0.4968	0.9174|0.6810|0.6911|0.4984	0.9187|0.6832|0.6923|0.4999	0.9198|0.6828|0.6940|0.5002	
HILL	0.7506|0.6432|0.5434|0.4429	0.7506|0.6432|0.5434|0.4429	0.7506|0.6433|0.5434|0.4429	0.7509|0.6438|0.5437|0.4432	0.7524|0.6451|0.5449|0.4440	0.7551|0.6468|0.5474|0.4450	0.7582|0.6478|0.5503|0.4460	0.7625|0.6486|0.5544|0.4473	0.7715|0.6486|0.5634|0.4495	
REDBIRD	0.9267|0.7321|0.6938|0.5392	0.9267|0.7321|0.6938|0.5392	0.9267|0.7323|0.6938|0.5392	0.9271|0.7340|0.6940|0.5400	0.9281|0.7382|0.6947|0.5424	0.9294|0.7441|0.6957|0.5459	0.9306|0.7488|0.6968|0.5491	0.9317|0.7518|0.6979|0.5517	0.9331|0.7540|0.6994|0.5546	
WOOD	0.6492|0.6230|0.5075|0.4847	0.6492|0.6230|0.5075|0.4847	0.6492|0.6230|0.5075|0.4847	0.6495|0.6238|0.5077|0.4852	0.6503|0.6258|0.5082|0.4864	0.6523|0.6289|0.5098|0.4883	0.6544|0.6312|0.5114|0.4899	0.6567|0.6323|0.5132|0.4906	0.6600|0.6310|0.5158|0.4900	
YELLOWBIRD	0.9251|0.6906|0.7014|0.5264	0.9251|0.6906|0.7014|0.5264	0.9251|0.6907|0.7014|0.5265	0.9253|0.6915|0.7015|0.5270	0.9262|0.6950|0.7021|0.5294	0.9278|0.7061|0.7033|0.5359	0.9294|0.7155|0.7045|0.5414	0.9308|0.7222|0.7057|0.5452	0.9320|0.7262|0.7070|0.5475	
ICE	0.7523|0.6979|0.5743|0.5284	0.7523|0.6979|0.5743|0.5284	0.7523|0.6979|0.5743|0.5284	0.7524|0.6981|0.5744|0.5285	0.7527|0.6989|0.5746|0.5290	0.7541|0.7012|0.5758|0.5306	0.7554|0.7029|0.5771|0.5320	0.7569|0.7038|0.5786|0.5330	0.7588|0.7029|0.5806|0.5334	
